Razão Social;ICAO IATA;CNPJ;Atividades Aéreas;Endereço Sede;Telefone;E-Mail;Decisão Operacional;Data Decisão Operacional;Validade Operacional
ABSA - AEROLINHAS BRASILEIRAS S.A.;LTG M3;00.074.635/0001-33;TRANSPORTE AÉREO REGULAR;AEROPORTO INTERNACIONAL DE VIRACOPOS, RODOVIA SANTOS DUMONT, KM 66, SISTEMA VIÁRIO PRINCIPAL, S/ Nº, 13.052-970, CAMPINAS-SP;(11) 5582-8055;gar@tam.com.br;DECISÃO Nº 41;22/04/2015;23/04/2025
AEROSUL TÁXI AÉREO LTDA (EX.: AUSTEN TÁXI AÉREO LTDA);ASO 2S;27.315.694/0001-02;SERVIÇOS AÉREOS PÚBLICOS, TÁXI-AÉREO, TRANSPORTE AÉREO NÃO REGULAR, TRANSPORTE AÉREO REGULAR;RODOVIA PR 218, KM 7, JARDIM UNIVERSITÁRIO, AEROPORTO MUNICIPAL ALBERTO BERTELLI , 86.702-670, ARAPONGAS-PR;(43) 3176-4030;operacoes@aerosul.com.br;DECISÃO Nº 282;10/02/2021;
ASTA LINHAS AÉREAS LTDA ( EX - AMÉRICA DO SUL LINHAS AÉREAS LTDA.);SUL 0A;12.703.737/0001-50;SERVIÇOS AÉREOS PÚBLICOS, TRANSPORTE AÉREO REGULAR;AV GOVERNADOR JOÃO PONCE DE ARRUDA, S/N, HANGAR AMÉRICA DO SUL ANEXO AO AEROP. MAL RONDON. CAIXA POSTAL N° 156, NO BAIRRO CENTRO-NORTE, 78.110-900, VÁRZEA GRANDE-MT;(65) 3614-2684 / (18) 2104-1000;;DECISÃO Nº 115;31/07/2019;02/08/2024
ATA - AEROTÁXI ABAETÉ LTDA.;ABJ;14.674.451/0001-19;TÁXI-AÉREO, TRANSPORTE AÉREO NÃO REGULAR, TRANSPORTE AÉREO REGULAR; PÇA. GAGO COUTINHO, S/N, AEROPORTO INTERNACIONAL DE SALVADOR DEPUTADO LUÍS EDUARDO MAGALHÃES - HANGAR - AEROPORTO, 41.510-045, SALVADOR-BA;(71) 34629600 / (71) 996643563;guilherme@abaete.com.br     ;DECISÃO Nº 36;05/03/2020;
AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);ACN 2F;04.263.318/0001-16;TRANSPORTE AÉREO REGULAR;AVENIDA EMILIO ANTONON, 901, BAIRRO CHÁCARA AEROPORTO, 13.212-010, JUNDIAÍ-SP;(11) 45822355/ (11) 987433988;;Decisão nº 14, de 25/01/2018;25/01/2018;29/01/2028
AZUL LINHAS AÉREAS BRASILEIRAS S/A;AZU AD;09.296.295/0001-60;TRANSPORTE AÉREO REGULAR;AV. MARCOS PENTEADO ULHÔA RODRIGUES,N°939, 9° ANDAR TORRE JATOBÁ, COND. CASTELO BRANCO OFFICE PARK - TAMBORÉ, 06.460-040, BARUERI-SP; (55) (11) 4134-9887 | Fax: (55)(11)4134-9890;vanessa.reis@voeazul.com.br;Decisão nº 178;20/11/2018;21/11/2028
GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.);GLO G3;07.575.651/0001-59;TRANSPORTE AÉREO REGULAR;PRAÇA SENADOR SALGADO FILHO, S/N°, AEROPORTO SANTOS DUMONT, TÉRREO, ÁREA PÚBLICA, ENTRE OS EIXOS 46-48/0-P, 20.021-340, RIO DE JANEIRO-RJ;(11) 5098-2990 / (11) 5098-7872;rddfonseca@voegol.com.br  ;DECISÃO Nº 156;05/11/2019;
MAP TRANSPORTES AÉREOS LTDA.;PAM 7M;10.483.635/0001-40;TRANSPORTE AÉREO REGULAR;AVENIDA SANTOS DUMONT, Nº 1350, AEROPORTO INTERNACIONAL DE MANAUS EDUARDO GOMES - SAGUÃO DE EMBARQUE DO TPS I - HANGAR I, BAIRRO TARUMÃ, 69.041-000, MANAUS-AM;(92) 36521620;contabil@voemap.com.br;DECISÃO Nº 89;14/08/2012;17/08/2022
MODERN TRANSPORTE AEREO DE CARGA S.A;MWM WD;03.887.831/0001-15;TRANSPORTE AÉREO REGULAR;AVENIDA PREFEITO LUIZ LATORRE, Nº 9450, CONDOMINIO MASTER BUSINESS PARK, GALPÃO 17, SALA 1, VILA DAS HORTÊNCIAS, 13.209-430, JUNDIAÍ-SP;(21) 2272-9272 / (11) 31096750;juridico@modern.com.br;DECISÃO Nº 79;31/05/2017;02/06/2027
PASSAREDO TRANSPORTES AÉREOS S.A.;PTB 2Z;00.512.777/0001-35;TRANSPORTE AÉREO REGULAR;SETOR DE HANGARES. ENTRADA PELA AV. THOMAZ ALBERTO WHATELY S/Nº, LOTES 14,16,20 E 22 AEROPORTO LEITE LOPES - JARDIM AEROPORTO, 14.078-550, RIBEIRÃO PRETO-SP;(16) 3514-7127 / (16) 3514-7126;juridico@voepass.com.br ;DECISÃO Nº 105;09/06/2020;
SIDERAL LINHAS AÉREAS LTDA.;SID 0S;10.919.908/0001-57;TRANSPORTE AÉREO NÃO REGULAR, TRANSPORTE AÉREO REGULAR;RODOVIA CONTORNO LESTE BR-116, Nº 9.119, 3º ANDAR, SALA 01, BAIRRO COSTEIRA. CAIXA POSTAL Nº 1054, 83.015-162, SÃO JOSÉ DOS PINHAIS-PR;(41) 3116-9000 / (41) 3116-9059;office@siderallinhasaereas.com.br  ;DECISÃO Nº 37;05/03/2020;06/03/2025
TAM LINHAS AÉREAS S.A.;TAM JJ;02.012.862/0001-60;TRANSPORTE AÉREO REGULAR;RUA ÁTICA , N° 673, 6ª ANDAR, SALA 62, JARDIM BRASIL, 04.634-042, SÃO PAULO-SP;(11) 5582-8055 / (11) 5582-8050;gar@tam.com.br   ;DECISÃO Nº 366;07/07/2021;09/11/2031
